COBI,48.8511191742212,2.33150232324835
MALA,48.8615396838525,2.3057037964225398
CHPY,48.8079548017692,2.53121646098508
NOGT,48.84103352614571,2.4811483419433396
NOIS,48.8305458750765,2.5581148196994703
ASNI,48.9236968372414,2.2843417111071
COBE,48.9222530606985,2.26203824575676
GENN,48.929296709472396,2.3013985966974198
CHPT,48.88469751078429,2.28805250399039
DAUP,48.8684907533212,2.28417743790544
LEVA,48.897532198724605,2.27774918752288
CHTO,48.8712148217509,2.35856354014089
ROUS,48.864165212514,2.34467996946523
CHLY,48.8475713901509,2.38432413334461
NATI,48.8363358430474,2.38645530940075
VINC,48.846521577451604,2.4523425788033903
BOND,48.904580931478,2.4897435563672596
CLIC,48.9042582195471,2.5423026413471
DRAN,48.9201290942886,2.4402589547528
IVRY,48.809513899507294,2.38770702209371
MASS,48.822590058917,2.37451279923623
POIS,48.8466398547544,2.35101022641267
AUTE,48.8506938974378,2.27321894706902
GREN,48.8441277509626,2.2903176605224
ISSY,48.8239583118433,2.26851870449152
CHAR,48.8547354505869,2.40490835979297
MENI,48.8721544068709,2.40374820335802
AUBE,48.91084509027021,2.38109597040349
LACO,48.928245749038105,2.38795610591696
PIER,48.9660362965985,2.36604516714683
STDE,48.945074233140204,2.3410102836916
PCDG,49.0155757283603,2.5281780851625
AULN,48.9473428830612,2.5149087154582004
BLME,48.9431574412681,2.44460584529711
TREM,48.965653273490105,2.56824435498998
CBVE,48.893150865978,2.24468931565873
NANT,48.899570110233,2.20208559457965
PUTX,48.877408826005,2.2342116396166802
RUEI,48.8648944025702,2.17861037737473
BOUL,48.8371783782744,2.2473644117618
MEUD,48.810965811780996,2.23744443816418
STCL,48.8476967473563,2.2104174236387797
CRET,48.7865059095011,2.45817528173765
JOIN,48.812126253916794,2.4584572042587003
MALF,48.8002509807131,2.42968208071559
VISG,48.7455212916154,2.45164999292396
STMR,48.796635571187295,2.5021717987953
SUCY,48.7620810565549,2.53462648980113
VILC,48.711906041508996,2.53920001906887
CHOI,48.753459837593695,2.4103525503410803
RUNG,48.760277273235104,2.36725253694096
VIJF,48.7918599076115,2.3529210546945696
VITR,48.787732381584796,2.38894009523272
ORLY,48.722392889790704,2.3488739396516403
MTGE,48.8129761193198,2.32817741186004
PLAI,48.831225189992296,2.31795932953383
PROY,48.83738181201161,2.3437573102247997
BSLT,48.8841069846557,2.3195056847281
MTMA,48.891142612079896,2.3328015187481297
STOU,48.9088854660785,2.3416176991905098
MTRL,48.8638141628243,2.43933054228314
NEUI,48.85334975904821,2.52321969519972
VIMB,48.8817728579206,2.49787915992131
PARM,48.8658680491531,2.37381170101613
SEVI,48.8557904983371,2.36182337684075
ANTO,48.7491008072639,2.30479320180544
BGLR,48.779202736628,2.3185006274739703
CLAM,48.811522924159696,2.27346611689365
PLCL,48.7848705998249,2.25113881691385
BLAN,48.8785161897342,2.3320258644124303
STHO,48.8657738503619,2.3354932471695604
BITC,48.889012513077404,2.37988856583432
LAND,48.881240142802106,2.36828677196808
PANT,48.899432475639294,2.40678877356472
